TS EVdW(kcal/mol)
0 81405.0762
50000 82808.4241
100000 82459.6690
150000 81661.4523
200000 82613.2475
250000 81928.6204
300000 81707.5699
350000 82291.4675
400000 82541.8002
450000 82885.7636
500000 81767.1232
550000 83070.7920
600000 82733.9909
650000 81849.8173
700000 81698.9611
750000 81727.6973
800000 82800.6997
850000 81817.5208
900000 82197.7061
950000 82743.2392
1000000 81854.0414
1050000 82502.0238
1100000 82627.5436
1150000 81943.4611
1200000 82582.7545
1250000 82062.6056
1300000 83092.8530
1350000 82386.3681
1400000 82099.6381
1450000 81752.6871
1500000 82909.6363
1550000 82241.5219
1600000 81079.0472
1650000 82290.5934
1700000 82708.3685
1750000 82858.9032
1800000 82317.0325
1850000 82580.1818
1900000 83075.8180
1950000 82658.8820
2000000 81656.9616
2050000 82738.7072
2100000 81987.8250
2150000 82374.0925
2200000 82447.7619
2250000 82490.1535
2300000 82468.4328
2350000 83121.9015
2400000 82574.3498
2450000 83209.1003
2500000 82390.3317
2550000 82220.9878
2600000 82905.0497
2650000 82095.9661
2700000 82748.7186
2750000 82167.7098
2800000 82347.4071
2850000 81980.6915
2900000 82397.9291
2950000 81805.3902
3000000 82086.9997
3050000 82135.0436
3100000 81515.5319
3150000 82208.8762
3200000 82864.0024
3250000 82324.4026
3300000 81243.5046
3350000 80870.7963
3400000 82003.1468
3450000 82559.2440
3500000 81754.2901
3550000 82482.3915
3600000 82350.7808
3650000 82644.2287
3700000 82487.1946
3750000 82056.9892
3800000 82205.3938
3850000 81743.4299
3900000 81264.0890
3950000 82237.3572
4000000 81619.3662
4050000 82022.3626
4100000 81567.3581
4150000 82361.0806
4200000 82438.0876
4250000 82518.0717
4300000 81544.3276
4350000 81851.6901
4400000 82314.7391
4450000 81377.0966
4500000 82335.6625
4550000 81915.8187
4600000 82875.7719
4650000 81591.7463
4700000 83032.5784
4750000 81404.5417
4800000 81865.1774
4850000 82081.7858
4900000 82161.4229
4950000 82296.7985
5000000 82719.1675
5050000 82113.3549
5100000 82051.7971
5150000 83123.5421
5200000 82591.9202
5250000 82803.0074
5300000 82937.9206
5350000 82388.0083
5400000 82841.9843
5450000 82290.6799
5500000 83331.0648
5550000 81669.0598
5600000 82957.4143
5650000 82069.2059
5700000 82123.2276
5750000 82919.6951
5800000 82409.1644
5850000 82546.7879
5900000 82141.5956
5950000 82232.9351
6000000 82276.6134
6050000 82631.7232
6100000 82103.7461
6150000 81324.0169
6200000 82406.5528
6250000 82695.1999
6300000 82528.8563
6350000 82985.8854
6400000 82732.2778
6450000 81215.8230
6500000 82891.7430
6550000 83053.1771
6600000 82870.8390
6650000 82240.7602
6700000 81727.0701
6750000 82727.7200
6800000 82379.9168
6850000 82663.4862
6900000 82125.6093
6950000 82306.3354
7000000 82690.3162
7050000 82385.7003
7100000 82221.0397
7150000 82311.3997
7200000 82615.3653
7250000 82211.4536
7300000 81818.4291
7350000 82836.0695
7400000 82994.7441
7450000 82657.4386
7500000 82474.8497
7550000 82294.8701
7600000 82059.3997
7650000 82482.0553
7700000 82021.9814
7750000 83512.8087
7800000 82478.4110
7850000 81410.1923
7900000 81245.2369
7950000 82288.5652
8000000 82320.5447
8050000 83080.4445
8100000 81443.8995
8150000 82941.6252
8200000 81634.5411
8250000 82357.9122
8300000 82264.0123
8350000 81784.7277
8400000 82232.8039
8450000 82307.9192
8500000 81857.0173
8550000 82344.2871
8600000 81697.9238
8650000 82695.5073
8700000 82235.5100
8750000 82253.8629
8800000 81395.4159
8850000 82908.9377
8900000 81734.9159
8950000 82201.4140
9000000 82401.1978
9050000 82496.9120
9100000 82339.2100
9150000 81780.2703
9200000 82020.2833
9250000 82091.2336
9300000 82341.2629
9350000 82022.4678
9400000 82072.2032
9450000 82070.5973
9500000 81979.0468
9550000 81828.1507
9600000 81829.9939
9650000 82797.3305
9700000 82582.7046
9750000 82603.9946
9800000 82150.8494
9850000 81861.4022
9900000 81900.4944
9950000 81891.8970
10000000 81200.9904
10050000 82291.1287
10100000 82394.3229
10150000 81827.3355
10200000 82618.8931
10250000 81987.8923
10300000 81675.4915
10350000 81600.5377
10400000 81655.6467
10450000 81964.9048
10500000 82055.6642
10550000 82916.8347
10600000 82682.7324
10650000 81689.4036
10700000 82254.6804
