TS EVdW(kcal/mol)
0 81729.1810
50000 82294.2393
100000 81885.6622
150000 81734.4260
200000 82504.8214
250000 81637.1064
300000 82614.8539
350000 81750.1456
400000 82116.4512
450000 81662.0845
500000 81530.7492
550000 82463.0374
600000 82505.1372
650000 82435.5472
700000 81781.8718
750000 81758.3897
800000 81540.7992
850000 82590.2997
900000 81685.2254
950000 81547.0093
1000000 81525.4659
1050000 80822.8521
1100000 82460.2016
1150000 80988.2392
1200000 81844.4764
1250000 81219.2929
1300000 81427.5088
1350000 81952.9911
1400000 82563.9009
1450000 81024.6504
1500000 82320.6098
1550000 81598.3289
1600000 81250.4210
1650000 81983.5010
1700000 81723.2507
1750000 81733.3477
1800000 81850.4431
1850000 82038.6823
1900000 82483.1551
1950000 82434.9217
2000000 81098.2411
2050000 81792.2292
2100000 82819.4305
2150000 81635.8451
2200000 82192.4073
2250000 80511.0733
2300000 81678.5132
2350000 82007.0327
2400000 82224.7777
2450000 81882.3444
2500000 82619.8125
2550000 81698.7356
2600000 82858.3076
2650000 80880.2766
2700000 82482.3178
2750000 81759.6069
2800000 81957.2701
2850000 82446.6244
2900000 82484.9565
2950000 81174.9322
3000000 82274.3797
3050000 81825.5391
3100000 81803.5355
3150000 82402.9160
3200000 81785.2318
3250000 81812.6464
3300000 81891.6709
3350000 81744.8118
3400000 82681.7225
3450000 81968.0500
3500000 82242.8555
3550000 82368.9869
3600000 81933.3915
3650000 81876.6699
3700000 80817.7050
3750000 83084.9213
3800000 82264.9166
3850000 81772.2803
3900000 81517.7987
3950000 82518.8330
4000000 82768.5930
4050000 81489.7538
4100000 82284.7331
4150000 82347.2442
4200000 81804.8330
4250000 81546.3221
4300000 81398.0532
4350000 82020.4774
4400000 81616.2977
4450000 81973.8618
4500000 82613.5444
4550000 81781.6294
4600000 83200.1688
4650000 82979.9092
4700000 80843.8784
4750000 82089.1962
4800000 82064.4114
4850000 81807.7577
4900000 81907.7084
4950000 81674.8161
