TS EVdW(kcal/mol)
0 72134.3045
50000 71924.8896
100000 72409.8677
150000 72805.4405
200000 72257.2245
250000 71908.0449
300000 70948.1879
350000 72136.9933
400000 72471.0461
450000 72040.1836
500000 71380.4403
550000 71929.1413
600000 71419.1507
650000 72570.9276
700000 73164.1027
750000 72743.1882
800000 72345.9939
850000 71660.6197
900000 71372.0520
950000 72074.8974
1000000 72069.7163
1050000 71968.1939
1100000 72162.9588
1150000 72619.6906
1200000 72760.5003
1250000 71857.9586
1300000 72046.7146
1350000 71909.6287
1400000 71434.8334
1450000 72413.8465
1500000 71897.4903
1550000 72044.5044
1600000 71998.2932
1650000 71487.8383
1700000 71699.0741
1750000 71674.2991
1800000 72419.9629
1850000 71545.8851
1900000 71631.3028
1950000 71557.9995
2000000 71680.3347
2050000 72539.7051
2100000 71535.1700
2150000 71979.6035
2200000 72024.0522
2250000 72316.2164
2300000 72239.8610
2350000 71258.2979
2400000 71841.0706
2450000 72402.1354
2500000 71414.1724
2550000 71876.6138
2600000 72451.1223
2650000 71047.8612
2700000 71725.1400
2750000 71625.1416
2800000 72132.4316
2850000 72412.2916
2900000 72109.6302
2950000 71198.9229
3000000 71478.5198
3050000 71831.3614
3100000 72313.6657
3150000 72270.3284
3200000 71713.1307
3250000 72409.8476
3300000 72155.3785
3350000 72490.4338
3400000 71856.9489
3450000 71505.4013
3500000 72286.4085
3550000 71498.1942
3600000 73199.9345
3650000 71786.2399
3700000 71145.2686
3750000 72095.8132
3800000 71386.6690
3850000 71054.6834
3900000 72354.5489
3950000 72880.9401
4000000 71754.7208
4050000 72678.6993
4100000 70932.1654
4150000 72126.8923
4200000 72029.9007
4250000 72293.7321
4300000 72177.3519
4350000 71716.3173
4400000 71894.1220
4450000 70903.0654
4500000 73093.7043
4550000 71998.4511
4600000 71604.9953
4650000 71763.4342
4700000 71267.5513
4750000 72183.4232
4800000 72607.5689
4850000 71970.4026
4900000 72063.8323
4950000 72467.9061
5000000 71066.1174
5050000 71172.5458
5100000 71534.5742
5150000 71500.7643
5200000 71224.1449
5250000 71814.2545
5300000 71837.0704
5350000 71635.2660
5400000 72108.3999
5450000 72348.5863
5500000 71040.1621
5550000 71770.8419
5600000 72783.6231
5650000 71606.2965
5700000 72320.2884
5750000 72058.0789
5800000 70802.2754
5850000 72006.8755
5900000 71987.9032
5950000 71670.4282
6000000 71680.4429
6050000 71230.7643
6100000 70867.7603
6150000 72653.7973
6200000 71827.2701
6250000 71834.9831
6300000 71155.2805
6350000 71500.1345
6400000 71127.7785
6450000 71704.0589
6500000 71975.5807
6550000 72351.9971
6600000 71907.7546
6650000 71927.4061
6700000 71219.0889
6750000 72676.3338
6800000 71825.0701
6850000 70983.3040
6900000 71605.1660
6950000 72822.0367
7000000 72311.4020
7050000 71756.7470
7100000 71410.5238
7150000 72132.5458
7200000 72781.4957
7250000 71624.9096
7300000 71829.2793
7350000 71783.9933
7400000 72632.1255
7450000 70788.9857
7500000 72329.4139
7550000 71990.9739
7600000 71304.0034
7650000 72083.8456
7700000 70859.5892
7750000 71760.0852
7800000 71917.8806
7850000 72385.1560
7900000 71992.8263
7950000 71532.9174
8000000 70999.7578
8050000 71263.8821
8100000 71358.2056
8150000 72049.2284
8200000 71248.8955
8250000 71516.2415
8300000 70438.5385
8350000 71529.1067
8400000 70924.0440
8450000 71733.9491
8500000 72396.2912
8550000 72016.2212
8600000 72048.7655
8650000 71265.9776
8700000 71981.2714
8750000 71130.0790
8800000 72028.1558
8850000 71874.0532
8900000 72171.7364
8950000 71319.3970
9000000 71839.7795
9050000 73041.3472
9100000 71446.5391
9150000 72351.5876
9200000 71867.3480
9250000 71076.9127
9300000 71713.1724
9350000 73047.4067
9400000 72515.9624
9450000 71915.6483
9500000 70678.5954
9550000 72044.3555
9600000 71002.1698
9650000 72436.5849
9700000 72748.2785
9750000 71233.2163
9800000 71354.6514
9850000 71859.0015
9900000 71454.6571
9950000 72432.3775
10000000 70775.4043
10050000 71963.5808
10100000 71953.1324
10150000 71379.0815
10200000 71741.0334
10250000 72289.3689
10300000 71442.3387
10350000 71306.7310
10400000 71653.7582
10450000 71866.6936
10500000 71527.3665
10550000 72210.9151
10600000 72481.2593
10650000 72031.8861
10700000 70555.5096
10750000 71875.4563
10800000 71471.3992
10850000 72109.8823
10900000 72784.3318
10950000 72056.4655
11000000 70820.5834
11050000 72453.8337
