TS Eel(kcal/mol)
0 -1345814.1508
50000 -1347287.8769
100000 -1347861.7631
150000 -1346686.1236
200000 -1347107.5297
250000 -1346366.3397
300000 -1345981.2708
350000 -1347626.5166
400000 -1347289.7171
450000 -1348150.6414
500000 -1346833.6343
550000 -1347866.8237
600000 -1347677.5764
650000 -1346520.3871
700000 -1347089.3156
750000 -1346387.2171
800000 -1348200.8358
850000 -1346657.8949
900000 -1347608.6521
950000 -1347716.6422
1000000 -1347148.4582
1050000 -1347980.6432
1100000 -1347076.1581
1150000 -1346357.6962
1200000 -1346711.3169
1250000 -1346597.3310
1300000 -1347728.2381
1350000 -1346563.0716
1400000 -1346680.4571
1450000 -1346399.9510
1500000 -1347803.1507
1550000 -1346895.9946
1600000 -1345715.6814
1650000 -1347754.9818
1700000 -1348000.1439
1750000 -1348705.3124
1800000 -1345817.1082
1850000 -1347084.4340
1900000 -1349190.4851
1950000 -1347507.3975
2000000 -1346159.2167
2050000 -1347524.6913
2100000 -1346017.3751
2150000 -1347806.4148
2200000 -1347281.0623
2250000 -1347548.4920
2300000 -1347087.9132
2350000 -1347003.7738
2400000 -1348527.7347
2450000 -1349146.7031
2500000 -1347479.3227
2550000 -1347669.9560
2600000 -1348192.0416
2650000 -1347491.5430
2700000 -1347555.4532
2750000 -1347593.8884
2800000 -1346687.7064
2850000 -1346760.9690
2900000 -1347501.9684
2950000 -1347364.9078
3000000 -1347074.5159
3050000 -1346849.9994
3100000 -1346678.0374
3150000 -1346384.5401
3200000 -1347248.6137
3250000 -1347280.9928
3300000 -1346828.2548
3350000 -1344832.0680
3400000 -1347079.5403
3450000 -1347216.5186
3500000 -1346492.0699
3550000 -1347839.4289
3600000 -1346841.6832
3650000 -1346975.3422
3700000 -1348125.8741
3750000 -1346412.7979
3800000 -1348530.7594
3850000 -1346830.2948
3900000 -1346293.1749
3950000 -1348133.4039
4000000 -1347210.2429
4050000 -1347247.4343
4100000 -1347151.4124
4150000 -1346743.7311
4200000 -1347382.2567
4250000 -1347597.3721
4300000 -1347222.1067
4350000 -1346828.9284
4400000 -1347926.2075
4450000 -1345036.3241
4500000 -1347420.7819
4550000 -1347843.9597
4600000 -1347912.6666
4650000 -1346507.7746
4700000 -1347889.2106
4750000 -1345909.6313
4800000 -1346858.3756
4850000 -1347746.7741
4900000 -1347664.8288
4950000 -1347100.8731
5000000 -1348004.5157
5050000 -1348948.6540
5100000 -1346581.0880
5150000 -1347957.3747
5200000 -1347026.8660
5250000 -1347586.7956
5300000 -1349149.7553
5350000 -1348408.3939
5400000 -1347849.6929
5450000 -1347042.9809
5500000 -1348151.7206
5550000 -1346366.8918
5600000 -1347903.9687
5650000 -1347554.1642
5700000 -1346979.2462
5750000 -1348372.2767
5800000 -1346476.5449
5850000 -1347797.7314
5900000 -1346977.5479
5950000 -1346539.4094
6000000 -1346985.6757
6050000 -1346937.5051
6100000 -1347193.2331
6150000 -1346643.7123
6200000 -1347890.3713
6250000 -1348522.7294
6300000 -1346976.4658
6350000 -1348257.4081
6400000 -1347978.6626
6450000 -1346320.1360
6500000 -1348619.8764
6550000 -1349002.5625
6600000 -1348146.9660
6650000 -1347504.4434
6700000 -1346409.8233
6750000 -1348270.2980
6800000 -1347768.4265
6850000 -1346903.1893
6900000 -1347806.7117
6950000 -1348021.5305
7000000 -1347799.1810
7050000 -1346948.0442
7100000 -1345700.5647
7150000 -1347182.1437
7200000 -1347997.2192
7250000 -1347362.2370
7300000 -1346714.5882
7350000 -1348018.1200
7400000 -1348198.7309
7450000 -1347908.6717
7500000 -1347627.9573
7550000 -1347367.3461
7600000 -1347751.3327
7650000 -1347997.9373
7700000 -1346321.8962
7750000 -1348804.6682
7800000 -1346792.2044
7850000 -1345868.7254
7900000 -1345427.9879
7950000 -1347094.6147
8000000 -1347591.7591
8050000 -1348512.3180
8100000 -1345679.0575
8150000 -1348485.8187
8200000 -1346947.5986
8250000 -1347583.7829
8300000 -1346810.8601
8350000 -1346072.0284
8400000 -1348359.7199
8450000 -1348133.8867
8500000 -1346836.2537
8550000 -1348029.2448
8600000 -1346586.9965
8650000 -1348589.7016
8700000 -1346379.0596
8750000 -1348139.7254
8800000 -1346871.2488
8850000 -1348023.8332
8900000 -1347345.1215
8950000 -1346635.3289
9000000 -1347332.1879
9050000 -1347816.6886
9100000 -1347491.7891
9150000 -1347029.5471
9200000 -1347057.3900
9250000 -1346699.9000
9300000 -1347408.1816
9350000 -1347557.0751
9400000 -1346936.3375
9450000 -1348221.7095
9500000 -1347447.7606
9550000 -1346694.3090
9600000 -1347659.9315
9650000 -1349011.7010
9700000 -1348820.7385
9750000 -1347501.7577
