TS Eel(kcal/mol)
0 -1343725.8872
50000 -1344466.6427
100000 -1344469.6215
150000 -1344042.6441
200000 -1344709.6174
250000 -1344042.9556
300000 -1344361.2764
350000 -1344117.3992
400000 -1344436.1620
450000 -1343937.2237
500000 -1343778.9080
550000 -1344669.7643
600000 -1344464.7121
650000 -1344772.6457
700000 -1343893.1557
750000 -1343812.4219
800000 -1343606.5217
850000 -1344013.1150
900000 -1344314.5975
950000 -1344465.9681
1000000 -1344084.7518
1050000 -1342953.2424
1100000 -1345735.1862
1150000 -1342576.2665
1200000 -1343943.9979
1250000 -1342236.4986
1300000 -1343071.8290
1350000 -1344636.3136
1400000 -1343964.1567
1450000 -1342118.3453
1500000 -1343675.1274
1550000 -1343803.9638
1600000 -1343307.8874
1650000 -1343883.8507
1700000 -1343888.7130
1750000 -1344435.8272
1800000 -1345126.0673
1850000 -1344843.7698
1900000 -1343967.8637
1950000 -1345385.5585
2000000 -1342814.5484
2050000 -1343966.4347
2100000 -1344866.8830
2150000 -1344775.2720
2200000 -1343538.4716
2250000 -1342992.9849
2300000 -1343638.4902
2350000 -1345778.3677
2400000 -1345275.6551
2450000 -1343824.3988
2500000 -1344689.6788
2550000 -1343381.3512
2600000 -1345529.5805
2650000 -1342880.6501
2700000 -1345105.9471
2750000 -1344577.6143
2800000 -1344547.8232
2850000 -1344828.4919
2900000 -1345582.0509
2950000 -1344331.4796
3000000 -1344401.9863
3050000 -1344656.9479
3100000 -1344855.7277
3150000 -1344867.8153
3200000 -1343736.3981
3250000 -1344369.3451
3300000 -1344488.3184
3350000 -1345010.7427
3400000 -1345625.8780
3450000 -1344850.0610
3500000 -1344124.6724
3550000 -1345181.5699
3600000 -1344790.2935
3650000 -1344069.8874
3700000 -1343055.1458
3750000 -1346737.7115
3800000 -1344712.8157
3850000 -1344158.9518
3900000 -1344975.6609
3950000 -1345192.8207
4000000 -1346291.4639
4050000 -1342941.5074
4100000 -1344364.2991
4150000 -1344326.8044
4200000 -1344359.3446
4250000 -1344482.9710
4300000 -1344238.4066
4350000 -1344587.1561
4400000 -1343277.5482
4450000 -1344671.7449
4500000 -1344423.0096
4550000 -1342882.3600
4600000 -1345605.0249
4650000 -1345828.2598
4700000 -1342606.4224
4750000 -1344450.1885
4800000 -1345010.2305
4850000 -1344159.0662
4900000 -1344547.7355
4950000 -1343553.6730
5000000 -1343480.8794
5050000 -1343852.3398
5100000 -1345011.9168
5150000 -1346150.4225
5200000 -1345547.5781
5250000 -1345161.5964
5300000 -1343506.9066
5350000 -1343985.7527
5400000 -1343751.5253
5450000 -1342755.4849
5500000 -1344709.5624
5550000 -1343530.5193
5600000 -1346067.7200
5650000 -1344288.3128
5700000 -1345220.8534
5750000 -1344190.5947
5800000 -1344236.9250
5850000 -1344383.3395
5900000 -1344145.7909
5950000 -1344332.0741
6000000 -1345169.8586
6050000 -1344332.6226
6100000 -1344675.7991
6150000 -1344614.9499
6200000 -1345265.0278
6250000 -1345720.5822
6300000 -1345710.7719
6350000 -1343460.9453
6400000 -1345114.2446
6450000 -1345358.9772
6500000 -1344796.0380
6550000 -1343992.1391
6600000 -1344421.6557
6650000 -1342933.7276
6700000 -1342814.9808
6750000 -1344553.2023
6800000 -1345203.9546
6850000 -1343899.7115
6900000 -1343684.4359
6950000 -1344790.4362
7000000 -1344451.2159
7050000 -1342995.8958
7100000 -1344727.7735
7150000 -1344841.6899
7200000 -1344358.3423
7250000 -1344207.4991
7300000 -1344024.0509
7350000 -1343640.6217
7400000 -1343004.7056
7450000 -1344215.0819
7500000 -1344301.9026
7550000 -1344199.0682
7600000 -1344170.8478
7650000 -1344885.3231
7700000 -1344008.3080
7750000 -1344824.2784
7800000 -1344579.1526
7850000 -1343186.9570
7900000 -1343546.7210
7950000 -1344970.8511
8000000 -1345492.1920
8050000 -1345436.5519
8100000 -1343378.5542
8150000 -1344159.6882
8200000 -1343330.0288
8250000 -1343990.3692
8300000 -1345725.3419
8350000 -1345860.7746
8400000 -1343910.6951
8450000 -1345636.2256
8500000 -1344712.6133
8550000 -1344856.8870
8600000 -1344868.0827
8650000 -1344119.5011
8700000 -1344407.4513
8750000 -1345254.2943
8800000 -1345656.1286
8850000 -1344420.1468
8900000 -1344592.8858
8950000 -1345241.5924
9000000 -1345257.4807
9050000 -1345503.5065
9100000 -1344112.5410
9150000 -1345557.2699
9200000 -1346072.2299
9250000 -1341193.5634
9300000 -1343940.0086
9350000 -1344997.2183
9400000 -1342859.0798
9450000 -1344491.7428
9500000 -1344765.5833
9550000 -1344868.2411
9600000 -1344518.7022
9650000 -1344274.9294
9700000 -1344397.6146
9750000 -1344881.7018
9800000 -1345110.2829
9850000 -1344275.4119
9900000 -1344820.7090
9950000 -1343887.2713
10000000 -1344910.5852
10050000 -1343430.1480
10100000 -1344507.8241
10150000 -1343867.7520
10200000 -1344757.0555
10250000 -1344030.4142
10300000 -1343915.8432
10350000 -1343401.6422
10400000 -1343935.4095
10450000 -1342407.6746
10500000 -1344586.5985
10550000 -1345388.6884
10600000 -1344573.9351
10650000 -1344261.5830
10700000 -1344691.5104
10750000 -1345816.4755
10800000 -1343535.5399
10850000 -1345062.8665
10900000 -1343991.1183
10950000 -1345173.8493
11000000 -1345585.6617
11050000 -1345347.1072
11100000 -1343347.5059
11150000 -1343204.1659
11200000 -1343859.5258
11250000 -1342521.9276
11300000 -1344684.4525
11350000 -1344317.6883
11400000 -1344819.3670
11450000 -1344749.5710
11500000 -1343490.0187
11550000 -1343572.0638
11600000 -1344947.7587
11650000 -1343916.2559
11700000 -1343903.5688
11750000 -1345406.8757
11800000 -1344875.7083
11850000 -1344230.6218
11900000 -1344904.3714
11950000 -1344086.1697
12000000 -1343560.9275
12050000 -1344550.6435
12100000 -1345411.6886
12150000 -1344236.1454
12200000 -1342986.9050
12250000 -1344357.4090
12300000 -1344078.7044
12350000 -1343257.4872
12400000 -1344310.2974
12450000 -1343752.9958
12500000 -1344288.6599
12550000 -1344377.7980
12600000 -1343261.8020
12650000 -1344715.1358
12700000 -1343092.6084
12750000 -1343646.0429
12800000 -1344632.9748
12850000 -1345257.2382
12900000 -1343774.7264
12950000 -1345197.0630
13000000 -1344156.2614
13050000 -1344356.7830
13100000 -1345112.0316
13150000 -1343757.5545
13200000 -1343059.7289
13250000 -1345310.2654
13300000 -1345471.7184
13350000 -1344274.0838
13400000 -1344435.7159
13450000 -1345800.0010
13500000 -1344869.2239
13550000 -1344466.8391
13600000 -1344235.9807
13650000 -1344981.8942
13700000 -1346037.3877
13750000 -1343813.1277
13800000 -1343591.8066
13850000 -1344683.7968
13900000 -1343712.5246
13950000 -1343728.6299
14000000 -1343458.2192
14050000 -1343719.8266
14100000 -1344925.8509
14150000 -1345821.3270
14200000 -1345609.8703
14250000 -1344682.1320
14300000 -1345015.8057
14350000 -1345262.4890
14400000 -1345048.1410
14450000 -1345074.7367
14500000 -1344663.6539
14550000 -1344541.6208
14600000 -1342961.5219
14650000 -1344238.2910
14700000 -1345613.2712
14750000 -1344876.7884
14800000 -1343923.0565
14850000 -1345107.5183
14900000 -1344082.2673
14950000 -1344670.1881
15000000 -1344644.4606
15050000 -1344972.3287
15100000 -1344177.9991
15150000 -1344820.7705
15200000 -1343779.3156
15250000 -1344987.8074
15300000 -1343372.3684
15350000 -1344344.2009
15400000 -1345621.7482
15450000 -1343945.0735
15500000 -1345384.1053
15550000 -1344850.6782
15600000 -1345008.5682
15650000 -1343710.7350
15700000 -1345410.8441
15750000 -1345446.5118
15800000 -1345397.9597
15850000 -1346502.2822
15900000 -1344238.8828
15950000 -1344110.1294
16000000 -1344115.8962
16050000 -1343333.7820
16100000 -1344426.1826
16150000 -1343436.6133
16200000 -1344421.7704
16250000 -1344527.0480
16300000 -1344188.0630
16350000 -1343749.7638
16400000 -1345762.0155
16450000 -1343961.3523
16500000 -1343544.6134
16550000 -1345063.9829
16600000 -1344440.8162
16650000 -1344540.4802
16700000 -1344116.1833
16750000 -1344185.7268
16800000 -1344393.5556
16850000 -1344479.7984
16900000 -1343401.3262
16950000 -1344570.0823
17000000 -1344419.8827
17050000 -1344066.0783
17100000 -1344984.2750
17150000 -1344718.8780
17200000 -1343384.9638
17250000 -1345523.0457
17300000 -1344117.0435
17350000 -1344309.5087
17400000 -1345091.3834
17450000 -1344983.0604
17500000 -1344392.9168
17550000 -1343812.7990
17600000 -1343563.2440
17650000 -1345238.8282
17700000 -1343492.8493
17750000 -1345204.0079
17800000 -1344441.9934
17850000 -1343533.7859
17900000 -1344218.9827
17950000 -1343990.1279
18000000 -1345830.2170
18050000 -1345531.4230
18100000 -1344284.3409
18150000 -1345194.5705
18200000 -1344027.6211
18250000 -1345067.1903
18300000 -1344915.4433
18350000 -1344647.5976
18400000 -1344225.2914
18450000 -1343717.8948
18500000 -1344524.6534
18550000 -1344190.4380
18600000 -1345246.0751
18650000 -1343460.5864
18700000 -1345983.8472
18750000 -1344237.1182
18800000 -1344227.2209
18850000 -1342127.4334
18900000 -1344511.1257
18950000 -1344325.9064
19000000 -1344334.2483
19050000 -1343974.2356
19100000 -1344106.0225
19150000 -1343357.7539
19200000 -1345095.7717
19250000 -1344588.2916
19300000 -1343610.0535
19350000 -1344431.9238
19400000 -1344696.6506
19450000 -1344029.1956
19500000 -1343306.5354
19550000 -1344959.4952
19600000 -1344492.7622
19650000 -1344839.0064
19700000 -1344333.2427
19750000 -1343852.7556
19800000 -1344434.8932
19850000 -1344968.0215
19900000 -1343302.8485
19950000 -1345521.0025
20000000 -1343869.3430
20050000 -1342345.1816
20100000 -1344804.8825
20150000 -1344271.4816
20200000 -1345388.1288
20250000 -1343843.0735
20300000 -1346485.0992
20350000 -1342859.1922
20400000 -1344396.0036
20450000 -1346020.1558
20500000 -1345058.4311
20550000 -1345050.1236
20600000 -1343751.2715
20650000 -1344196.1385
20700000 -1343326.3339
20750000 -1345283.9340
20800000 -1344519.9484
20850000 -1343594.6769
20900000 -1344853.2532
20950000 -1344631.0176
21000000 -1341733.8824
21050000 -1344727.9204
21100000 -1344499.6889
21150000 -1344508.6436
21200000 -1344335.8061
21250000 -1343558.7639
21300000 -1343753.4014
21350000 -1344648.6296
21400000 -1343444.9678
21450000 -1344807.1502
21500000 -1344039.6370
21550000 -1343684.2706
21600000 -1342870.0532
21650000 -1344308.3787
21700000 -1345174.4843
21750000 -1344103.9735
21800000 -1344711.0475
21850000 -1343548.1283
21900000 -1344327.1648
21950000 -1344762.3489
22000000 -1344700.8399
22050000 -1344190.8270
22100000 -1343858.1924
22150000 -1344571.7447
22200000 -1343480.7513
22250000 -1345339.3072
22300000 -1343587.9332
22350000 -1343289.2921
22400000 -1344970.0062
22450000 -1345424.8142
22500000 -1343938.2764
22550000 -1344015.4369
22600000 -1343450.1978
22650000 -1344685.4390
22700000 -1345064.3563
22750000 -1344981.6037
22800000 -1345576.6958
22850000 -1343614.6142
22900000 -1345080.9979
22950000 -1344320.8306
23000000 -1345210.9859
23050000 -1344926.7172
23100000 -1344625.8953
23150000 -1343888.7047
23200000 -1345347.5661
23250000 -1344837.3099
23300000 -1344311.4103
23350000 -1344556.3938
23400000 -1343775.3473
23450000 -1344994.6705
23500000 -1344845.8399
23550000 -1343084.6296
23600000 -1344485.7907
23650000 -1345602.1945
23700000 -1343052.4204
23750000 -1343991.1585
23800000 -1345212.1444
23850000 -1344692.0512
23900000 -1342903.3291
23950000 -1344335.9191
24000000 -1344529.9216
24050000 -1344673.9514
24100000 -1346126.0022
24150000 -1344107.2587
24200000 -1343214.6699
24250000 -1345828.0976
24300000 -1345202.9755
24350000 -1343556.3469
24400000 -1344463.4507
24450000 -1345252.2237
24500000 -1344732.3041
24550000 -1344968.6946
24600000 -1344188.2936
24650000 -1344306.8799
24700000 -1345123.0225
24750000 -1342559.7291
24800000 -1344929.6789
24850000 -1343965.4088
24900000 -1344104.4424
24950000 -1344127.9594
25000000 -1344704.6591
25050000 -1343288.6740
25100000 -1346528.6741
25150000 -1345506.6940
25200000 -1344074.5175
25250000 -1343231.6047
25300000 -1344366.7556
25350000 -1343662.1933
25400000 -1344726.4882
25450000 -1344047.8865
25500000 -1345534.4844
25550000 -1345169.2229
25600000 -1344793.9603
25650000 -1345493.9421
25700000 -1343856.5502
25750000 -1344824.8283
25800000 -1345349.6816
25850000 -1344755.7849
25900000 -1344876.4431
25950000 -1344857.6943
26000000 -1344874.6140
26050000 -1344563.5211
26100000 -1342873.5847
26150000 -1345890.9780
26200000 -1345710.1628
26250000 -1346250.5925
26300000 -1343076.2285
26350000 -1344129.8212
26400000 -1345557.6439
26450000 -1344176.8370
26500000 -1344030.0867
26550000 -1345805.1941
26600000 -1344364.1806
26650000 -1344166.0557
26700000 -1344174.0549
26750000 -1344510.1825
26800000 -1344433.7065
26850000 -1344255.9133
26900000 -1346248.3130
26950000 -1344507.1832
27000000 -1344194.8203
27050000 -1343685.9595
27100000 -1345085.6169
27150000 -1344710.3051
27200000 -1343857.2928
27250000 -1346172.5532
27300000 -1344576.2762
27350000 -1343931.0700
27400000 -1344916.8019
27450000 -1345124.0024
27500000 -1344066.9814
27550000 -1345308.1892
27600000 -1343412.6671
27650000 -1344057.8726
27700000 -1342434.1448
27750000 -1344028.5270
27800000 -1345116.8051
27850000 -1344809.3055
27900000 -1344386.8723
27950000 -1343245.0503
28000000 -1345020.3976
28050000 -1345382.8872
28100000 -1344239.5616
28150000 -1346232.8912
28200000 -1344610.2197
28250000 -1345666.4113
28300000 -1345198.8172
28350000 -1343872.0922
28400000 -1345885.4964
28450000 -1345424.8003
28500000 -1344345.6778
28550000 -1343831.4501
28600000 -1344061.2208
28650000 -1345612.6915
28700000 -1343364.1570
28750000 -1344188.7315
28800000 -1344008.5285
28850000 -1344347.0486
28900000 -1344913.6089
28950000 -1344816.6502
29000000 -1344423.3178
29050000 -1344046.1297
29100000 -1345131.5551
29150000 -1345470.1006
29200000 -1344300.5576
29250000 -1344032.5264
29300000 -1344775.1083
29350000 -1346354.5361
29400000 -1342441.3884
29450000 -1344214.6792
29500000 -1345252.2919
29550000 -1345419.4997
29600000 -1345589.0240
29650000 -1342199.5449
29700000 -1344981.8357
29750000 -1346724.7468
29800000 -1344360.1809
29850000 -1344994.2772
29900000 -1342489.4241
29950000 -1344886.6753
30000000 -1343620.3116
30050000 -1344594.4291
30100000 -1345277.1595
30150000 -1344411.5449
30200000 -1343317.9505
30250000 -1343431.7824
30300000 -1345854.6918
30350000 -1344980.2149
30400000 -1343749.9508
30450000 -1343851.6331
30500000 -1345890.3194
30550000 -1344228.9560
30600000 -1345053.9530
30650000 -1345255.5989
30700000 -1344632.4771
30750000 -1344536.0423
30800000 -1344022.1992
30850000 -1346507.2667
30900000 -1344467.1229
30950000 -1346752.9235
31000000 -1343217.4227
31050000 -1344346.1306
31100000 -1343689.3771
31150000 -1345691.0152
31200000 -1345014.0913
31250000 -1344675.6280
31300000 -1344324.1562
31350000 -1344173.4806
31400000 -1344774.6179
31450000 -1344166.7200
31500000 -1345502.4051
31550000 -1345607.5384
31600000 -1345528.6281
31650000 -1345078.4264
31700000 -1342646.7895
31750000 -1343648.3723
31800000 -1343944.5173
31850000 -1344855.5581
31900000 -1344502.0812
31950000 -1343981.5907
32000000 -1344386.9741
32050000 -1344966.7693
32100000 -1343959.1870
32150000 -1344099.8011
32200000 -1344063.1129
32250000 -1343618.0673
32300000 -1345237.3596
32350000 -1344567.4939
32400000 -1344681.2729
32450000 -1345351.4691
32500000 -1343912.4111
32550000 -1345098.8464
32600000 -1343493.9600
32650000 -1345493.2865
32700000 -1344253.5168
32750000 -1344002.4579
32800000 -1344684.0726
32850000 -1345284.1650
32900000 -1343329.1417
32950000 -1344985.6027
33000000 -1343990.6072
33050000 -1345076.2743
33100000 -1344516.5187
33150000 -1345280.1623
33200000 -1343747.7418
33250000 -1344949.9647
33300000 -1342822.2997
33350000 -1344832.2971
33400000 -1344024.3542
33450000 -1343716.4048
33500000 -1343305.3400
33550000 -1344093.8256
33600000 -1344716.8597
33650000 -1344967.5769
33700000 -1343839.8579
33750000 -1344545.2114
33800000 -1345163.3065
33850000 -1345147.9382
33900000 -1345000.2828
33950000 -1344307.7899
34000000 -1343331.1563
34050000 -1344820.1119
34100000 -1344740.2191
34150000 -1345815.8176
34200000 -1345645.0674
34250000 -1343832.9060
34300000 -1344550.4249
34350000 -1343749.8608
34400000 -1344507.5612
34450000 -1344626.1398
34500000 -1344553.7181
34550000 -1344214.9604
34600000 -1345711.7167
34650000 -1343186.3909
34700000 -1343981.3170
34750000 -1346108.8790
34800000 -1344622.3521
34850000 -1343975.1555
34900000 -1345252.3736
34950000 -1345926.2448
35000000 -1344506.0745
35050000 -1345253.3788
35100000 -1343336.3751
35150000 -1344421.7446
35200000 -1345076.0996
35250000 -1344859.9214
35300000 -1343908.1382
35350000 -1344238.6144
35400000 -1343925.8680
35450000 -1343142.6435
35500000 -1344440.5418
35550000 -1344576.0403
35600000 -1344508.1017
35650000 -1346209.2473
35700000 -1344035.1688
35750000 -1343672.0733
35800000 -1344063.7181
35850000 -1343497.8671
35900000 -1343385.9550
35950000 -1344959.0608
36000000 -1344392.5747
36050000 -1343840.6049
36100000 -1345367.7042
36150000 -1344436.8903
36200000 -1346495.0157
36250000 -1345813.7564
36300000 -1344336.9590
36350000 -1345017.6687
36400000 -1344656.1328
36450000 -1344455.2516
36500000 -1345916.4399
36550000 -1344893.3136
36600000 -1343276.9780
36650000 -1344525.1664
36700000 -1343234.5688
36750000 -1346261.9441
36800000 -1344325.5166
36850000 -1345368.4491
36900000 -1342862.1185
36950000 -1343830.8234
37000000 -1344530.3495
37050000 -1345481.3135
37100000 -1346181.8640
37150000 -1344567.0863
37200000 -1344273.0602
37250000 -1345594.3105
37300000 -1344599.8477
37350000 -1344791.7387
37400000 -1345102.3480
37450000 -1343928.3172
37500000 -1345306.4126
37550000 -1344800.6666
37600000 -1343679.6538
37650000 -1346130.4876
37700000 -1344273.5233
37750000 -1344683.5161
37800000 -1345102.7985
37850000 -1344626.5050
37900000 -1343612.8620
37950000 -1345355.4955
38000000 -1344792.8431
38050000 -1345329.9071
38100000 -1344832.0593
38150000 -1344921.0965
38200000 -1344753.1485
38250000 -1344625.3269
38300000 -1344407.3085
38350000 -1343769.7451
38400000 -1345483.1119
38450000 -1344293.8055
38500000 -1345001.4406
38550000 -1344766.1665
38600000 -1344532.3125
38650000 -1345155.2369
38700000 -1344344.3937
38750000 -1345201.8014
38800000 -1345416.3521
38850000 -1344014.6157
38900000 -1346637.3619
38950000 -1344545.0107
39000000 -1343479.7419
39050000 -1343845.2774
39100000 -1344723.4176
39150000 -1344721.3651
39200000 -1344141.8523
39250000 -1344726.4188
39300000 -1345391.7141
39350000 -1344328.9757
39400000 -1344856.8497
39450000 -1344676.8942
39500000 -1344942.5611
39550000 -1344273.9593
39600000 -1343964.8318
