TS Eel(kcal/mol)
0 -1235878.4028
50000 -1237450.1970
100000 -1237170.8238
150000 -1238833.2636
200000 -1237263.7875
250000 -1237044.8380
300000 -1234979.4143
350000 -1236341.6690
400000 -1237470.5043
450000 -1236403.2142
500000 -1236496.2918
550000 -1237104.5365
600000 -1236078.7314
650000 -1236767.0079
700000 -1238374.2355
750000 -1237386.8475
800000 -1236009.2925
850000 -1236583.1203
900000 -1235511.1922
950000 -1237382.0554
1000000 -1236535.2679
1050000 -1236138.6199
1100000 -1236213.9063
1150000 -1238310.1447
1200000 -1237241.0372
1250000 -1236897.2978
1300000 -1236866.4556
1350000 -1237363.5862
1400000 -1234815.1535
1450000 -1237393.7101
1500000 -1236910.3178
1550000 -1237765.3265
1600000 -1236459.4698
1650000 -1236403.6439
1700000 -1235863.1595
1750000 -1236536.5866
1800000 -1237602.2727
1850000 -1235949.3035
1900000 -1235917.8085
1950000 -1236421.1369
2000000 -1238149.5276
2050000 -1238423.7855
2100000 -1236157.8992
2150000 -1236710.5401
2200000 -1236410.3585
2250000 -1236837.4126
2300000 -1237772.0641
2350000 -1236272.4586
2400000 -1237264.4014
2450000 -1237334.1900
2500000 -1234876.4240
2550000 -1236511.2899
2600000 -1236999.6929
2650000 -1236363.4923
2700000 -1237802.3168
2750000 -1235436.5077
2800000 -1237059.6492
2850000 -1237993.9829
2900000 -1236960.2832
2950000 -1236410.0533
3000000 -1236747.0059
3050000 -1237058.8385
3100000 -1237453.8568
3150000 -1237149.2415
3200000 -1236537.4465
3250000 -1237605.2798
3300000 -1237767.6909
3350000 -1238120.4557
3400000 -1237370.7032
3450000 -1236601.0782
3500000 -1237721.1076
3550000 -1236419.1876
3600000 -1237815.8520
3650000 -1236842.7483
3700000 -1236149.9399
3750000 -1237529.1701
3800000 -1236285.7203
3850000 -1235100.1715
3900000 -1237291.9822
3950000 -1237891.0036
4000000 -1236298.2670
4050000 -1238234.6211
4100000 -1236396.5893
4150000 -1237484.4122
4200000 -1236678.5245
4250000 -1236648.5867
4300000 -1237086.7947
4350000 -1237082.5577
4400000 -1237084.7195
4450000 -1235043.6026
4500000 -1238578.8157
4550000 -1238071.6051
4600000 -1236487.7919
4650000 -1237312.0185
4700000 -1235340.3070
4750000 -1237169.9650
4800000 -1237489.4155
4850000 -1236694.1298
4900000 -1237626.9162
4950000 -1237169.7991
5000000 -1236015.8014
5050000 -1235917.3804
5100000 -1236176.8396
5150000 -1235283.9711
5200000 -1235856.6795
5250000 -1237248.6086
5300000 -1236833.0553
5350000 -1235981.0938
5400000 -1236905.0955
5450000 -1238262.4590
5500000 -1236075.4255
5550000 -1236683.2828
5600000 -1238297.1931
5650000 -1235908.9083
5700000 -1237394.3728
5750000 -1237421.2888
5800000 -1236008.5877
5850000 -1236030.6234
5900000 -1237103.9029
5950000 -1237433.3997
6000000 -1235686.7619
6050000 -1236053.8456
6100000 -1235744.5060
6150000 -1238701.7589
6200000 -1237053.9648
6250000 -1235657.9917
6300000 -1235886.5895
6350000 -1236769.2741
6400000 -1235985.0251
6450000 -1237712.1076
6500000 -1237311.1848
6550000 -1236992.7178
6600000 -1236930.8194
6650000 -1237348.8400
6700000 -1236900.0701
6750000 -1237491.7107
6800000 -1237189.2904
6850000 -1235481.0738
6900000 -1237456.4506
6950000 -1238107.6608
7000000 -1237572.6825
7050000 -1236167.2814
7100000 -1235677.9144
7150000 -1237014.2267
7200000 -1238212.6148
7250000 -1236451.0506
7300000 -1236412.4895
7350000 -1236341.1229
7400000 -1237480.1614
7450000 -1235471.5084
7500000 -1237510.9661
7550000 -1236406.1379
7600000 -1236262.9198
7650000 -1237551.3575
7700000 -1234821.9516
7750000 -1236615.1593
7800000 -1236997.9150
7850000 -1237668.3865
7900000 -1236878.0299
7950000 -1237105.8698
8000000 -1235629.9068
8050000 -1236295.3327
8100000 -1235386.2283
8150000 -1237831.8942
8200000 -1235715.7799
8250000 -1236862.9112
8300000 -1234952.5340
8350000 -1236815.0752
8400000 -1236276.1612
8450000 -1236587.2882
8500000 -1237522.0956
8550000 -1236806.1352
8600000 -1236928.7063
8650000 -1236458.8219
8700000 -1236571.0815
8750000 -1236070.7970
8800000 -1236911.2439
8850000 -1236705.7639
8900000 -1237304.4636
8950000 -1236496.1112
9000000 -1237281.6539
9050000 -1237397.8332
9100000 -1235927.6706
9150000 -1237109.5575
9200000 -1237088.5598
9250000 -1235100.2977
9300000 -1236717.0897
9350000 -1237523.0955
9400000 -1237220.2369
9450000 -1237281.0950
9500000 -1235725.3317
9550000 -1237062.3274
9600000 -1236408.1165
9650000 -1237102.3366
9700000 -1237946.0327
9750000 -1236350.6301
9800000 -1235882.2504
9850000 -1236633.2551
9900000 -1236031.4978
9950000 -1236902.0700
10000000 -1235703.3654
10050000 -1236324.2276
10100000 -1236774.3518
10150000 -1236257.2123
10200000 -1235889.8367
10250000 -1236944.2574
10300000 -1237053.1116
10350000 -1236697.4252
10400000 -1235630.5489
10450000 -1237326.2411
10500000 -1236619.9546
10550000 -1237163.1925
10600000 -1237531.1078
10650000 -1237099.8921
10700000 -1234985.0263
10750000 -1236665.9283
10800000 -1236227.5814
10850000 -1237305.8482
10900000 -1238595.2233
10950000 -1237619.0683
11000000 -1236093.7175
11050000 -1237157.3900
11100000 -1236685.4840
11150000 -1237424.0164
11200000 -1235655.4718
11250000 -1236798.2999
11300000 -1236523.0830
11350000 -1237206.8444
11400000 -1236526.9057
11450000 -1237033.7342
11500000 -1235355.9223
11550000 -1236461.7110
11600000 -1237835.3558
11650000 -1237222.8050
11700000 -1236480.6958
11750000 -1237414.5227
11800000 -1236492.4220
11850000 -1237494.1409
11900000 -1236821.9996
11950000 -1236654.2568
12000000 -1236272.6732
12050000 -1236358.5853
12100000 -1235580.3563
12150000 -1237430.5001
12200000 -1236642.3180
12250000 -1236775.8703
12300000 -1237038.5680
12350000 -1235236.4035
12400000 -1236519.9975
12450000 -1236791.9803
12500000 -1237087.3566
12550000 -1237249.7964
12600000 -1236641.5820
12650000 -1237867.6414
12700000 -1237641.7400
12750000 -1236762.7081
12800000 -1237885.9617
12850000 -1236811.6614
12900000 -1237966.3393
12950000 -1237006.2662
13000000 -1236707.5891
13050000 -1236282.8662
13100000 -1236175.4257
13150000 -1237118.9344
13200000 -1236544.7168
13250000 -1236505.6552
13300000 -1236471.2346
13350000 -1237600.3072
13400000 -1236699.9363
13450000 -1236801.3758
13500000 -1237464.8043
13550000 -1236218.3341
13600000 -1238181.1518
13650000 -1236631.2764
13700000 -1236711.6881
13750000 -1237137.1485
13800000 -1237724.2945
13850000 -1236156.2900
13900000 -1236489.4525
13950000 -1236789.9141
14000000 -1236175.9380
14050000 -1236759.8318
14100000 -1237159.1167
14150000 -1237375.7799
14200000 -1237796.9182
14250000 -1236061.9203
14300000 -1237657.8707
14350000 -1236814.2446
14400000 -1236229.8422
14450000 -1235804.5596
14500000 -1237002.2777
14550000 -1237265.0157
14600000 -1235761.4960
14650000 -1235994.4848
14700000 -1237727.8740
14750000 -1236799.9226
14800000 -1235891.3259
14850000 -1237211.1245
14900000 -1236911.2803
14950000 -1236228.4722
15000000 -1236797.3242
15050000 -1236272.4347
15100000 -1235804.4025
15150000 -1238304.4481
15200000 -1235801.8351
15250000 -1236643.6783
15300000 -1237212.1454
15350000 -1236874.0219
15400000 -1235730.7301
15450000 -1238112.3185
15500000 -1237221.4643
15550000 -1236873.6339
15600000 -1235622.7252
15650000 -1235728.6950
15700000 -1236536.4509
15750000 -1235173.2713
15800000 -1235186.2274
15850000 -1236505.6913
15900000 -1236289.1310
15950000 -1236379.4488
16000000 -1236677.6523
16050000 -1238004.0026
16100000 -1237255.6472
16150000 -1236494.3879
16200000 -1237704.5144
16250000 -1236431.5805
16300000 -1236572.5603
16350000 -1236087.7838
16400000 -1236600.1914
16450000 -1236537.7452
16500000 -1237028.6100
16550000 -1236426.6767
16600000 -1236358.9793
16650000 -1236415.6199
16700000 -1235938.8493
16750000 -1235985.7581
16800000 -1236294.0843
16850000 -1236872.6668
16900000 -1235568.9843
16950000 -1237198.5793
17000000 -1235198.7210
17050000 -1235901.3138
17100000 -1236332.2087
17150000 -1237026.9316
17200000 -1237025.0947
17250000 -1237697.0716
17300000 -1236426.4835
17350000 -1236080.0248
17400000 -1236997.5346
17450000 -1235591.7179
17500000 -1236781.4125
17550000 -1236931.6736
17600000 -1235693.0806
17650000 -1236194.0984
17700000 -1237225.7171
17750000 -1238333.4002
17800000 -1235343.3019
17850000 -1238664.9450
17900000 -1237701.3218
17950000 -1236306.4779
18000000 -1237405.7153
18050000 -1236571.5296
18100000 -1236245.7739
18150000 -1236516.4645
18200000 -1236969.3503
18250000 -1236428.8117
18300000 -1235860.6083
18350000 -1236845.5158
18400000 -1237374.9715
18450000 -1235815.6191
18500000 -1239007.6202
18550000 -1237779.5342
18600000 -1237979.7923
18650000 -1235647.9427
18700000 -1237322.3301
18750000 -1236867.1457
18800000 -1239081.9081
18850000 -1237680.2953
18900000 -1237523.0638
18950000 -1237152.1796
19000000 -1237025.0300
19050000 -1236525.2906
