Frame	2_bonds	no_bonds	303_350
0	1.991057	4.187913	2.042211
1	2.068086	3.604975	2.052868
2	2.031647	5.462896	2.025650
3	2.103473	6.302849	1.997540
4	1.955998	5.413560	2.062274
5	2.042802	5.238550	1.966599
6	1.978200	5.339744	1.967427
7	1.947653	5.585095	2.026448
8	2.047410	5.743258	1.952926
9	2.000460	3.477892	2.035621
10	2.093802	3.818849	2.030886
11	2.055035	3.679912	1.977703
12	2.047578	3.444159	2.046971
13	2.036127	3.765519	2.048070
14	2.062009	5.364509	1.985960
15	2.070637	4.676296	1.943971
16	1.982419	4.606115	1.965956
17	2.036434	4.463741	1.940801
18	2.002272	4.754900	1.954909
19	2.024175	5.218783	1.987653
20	2.045116	4.234674	2.043628
21	1.935633	5.253647	2.105303
22	2.048670	4.236477	1.968292
23	2.095036	4.492458	2.055771
24	2.082084	4.043544	2.048269
25	2.048481	4.597920	1.998090
26	2.009085	5.286727	2.034215
27	2.048709	5.125550	1.987029
28	2.031890	5.031467	2.076615
29	1.967547	4.959780	2.104937
30	1.986011	4.168222	2.018681
31	2.018391	5.440931	2.112860
32	2.027402	4.837652	2.007920
33	1.982284	5.669118	1.955071
34	2.087553	4.944311	2.005360
35	2.075121	3.720639	2.033403
36	2.047107	5.123730	1.995324
37	2.035858	3.763420	2.034359
38	2.008980	4.983560	1.967400
39	2.046659	4.117953	2.099067
40	2.016661	4.315981	1.973547
41	1.946799	5.012409	2.064419
42	2.051127	5.970366	1.963961
43	2.053338	5.416666	1.997582
44	2.072458	5.654675	1.999711
45	2.057841	5.594929	2.012514
46	2.080578	5.470113	2.057208
47	1.922681	4.657061	2.009155
48	1.945833	4.852122	2.038118
49	1.978717	5.902884	1.983630
50	2.058196	5.516183	1.966089
51	2.024931	4.745878	2.055154
52	2.084222	5.672090	2.011928
53	1.979504	5.019958	2.037928
54	1.976150	4.874096	1.991222
55	1.980825	4.917247	2.032126
56	2.048214	6.271456	2.000714
57	2.052016	5.386035	1.958977
58	2.061748	5.548195	1.978661
59	2.079893	5.053899	1.995223
60	2.019409	5.120636	2.038920
61	1.983996	5.612175	2.077467
62	2.011787	5.757299	2.045220
63	1.993057	4.773205	2.024578
64	2.046797	6.473143	2.013299
65	2.031502	6.941876	1.999046
66	2.012059	7.266019	1.992742
67	2.093421	5.043089	2.125703
