TS	2_bonds	no_bonds	303_350
0	81405.0762	72134.3045	81729.1810
50000	82808.4241	71924.8896	82294.2393
100000	82459.6690	72409.8677	81885.6622
150000	81661.4523	72805.4405	81734.4260
200000	82613.2475	72257.2245	82504.8214
250000	81928.6204	71908.0449	81637.1064
300000	81707.5699	70948.1879	82614.8539
350000	82291.4675	72136.9933	81750.1456
400000	82541.8002	72471.0461	82116.4512
450000	82885.7636	72040.1836	81662.0845
500000	81767.1232	71380.4403	81530.7492
550000	83070.7920	71929.1413	82463.0374
600000	82733.9909	71419.1507	82505.1372
650000	81849.8173	72570.9276	82435.5472
700000	81698.9611	73164.1027	81781.8718
750000	81727.6973	72743.1882	81758.3897
800000	82800.6997	72345.9939	81540.7992
850000	81817.5208	71660.6197	82590.2997
900000	82197.7061	71372.0520	81685.2254
950000	82743.2392	72074.8974	81547.0093
1000000	81854.0414	72069.7163	81525.4659
1050000	82502.0238	71968.1939	80822.8521
1100000	82627.5436	72162.9588	82460.2016
1150000	81943.4611	72619.6906	80988.2392
1200000	82582.7545	72760.5003	81844.4764
1250000	82062.6056	71857.9586	81219.2929
1300000	83092.8530	72046.7146	81427.5088
1350000	82386.3681	71909.6287	81952.9911
1400000	82099.6381	71434.8334	82563.9009
1450000	81752.6871	72413.8465	81024.6504
1500000	82909.6363	71897.4903	82320.6098
1550000	82241.5219	72044.5044	81598.3289
1600000	81079.0472	71998.2932	81250.4210
1650000	82290.5934	71487.8383	81983.5010
1700000	82708.3685	71699.0741	81723.2507
1750000	82858.9032	71674.2991	81733.3477
1800000	82317.0325	72419.9629	81850.4431
1850000	82580.1818	71545.8851	82038.6823
1900000	83075.8180	71631.3028	82483.1551
1950000	82658.8820	71557.9995	82434.9217
2000000	81656.9616	71680.3347	81098.2411
2050000	82738.7072	72539.7051	81792.2292
2100000	81987.8250	71535.1700	82819.4305
2150000	82374.0925	71979.6035	81635.8451
2200000	82447.7619	72024.0522	82192.4073
2250000	82490.1535	72316.2164	80511.0733
2300000	82468.4328	72239.8610	81678.5132
2350000	83121.9015	71258.2979	82007.0327
2400000	82574.3498	71841.0706	82224.7777
2450000	83209.1003	72402.1354	81882.3444
2500000	82390.3317	71414.1724	82619.8125
2550000	82220.9878	71876.6138	81698.7356
2600000	82905.0497	72451.1223	82858.3076
2650000	82095.9661	71047.8612	80880.2766
2700000	82748.7186	71725.1400	82482.3178
2750000	82167.7098	71625.1416	81759.6069
2800000	82347.4071	72132.4316	81957.2701
2850000	81980.6915	72412.2916	82446.6244
2900000	82397.9291	72109.6302	82484.9565
2950000	81805.3902	71198.9229	81174.9322
3000000	82086.9997	71478.5198	82274.3797
3050000	82135.0436	71831.3614	81825.5391
3100000	81515.5319	72313.6657	81803.5355
3150000	82208.8762	72270.3284	82402.9160
3200000	82864.0024	71713.1307	81785.2318
3250000	82324.4026	72409.8476	81812.6464
3300000	81243.5046	72155.3785	81891.6709
3350000	80870.7963	72490.4338	81744.8118
3400000	82003.1468	71856.9489	82681.7225
3450000	82559.2440	71505.4013	81968.0500
3500000	81754.2901	72286.4085	82242.8555
3550000	82482.3915	71498.1942	82368.9869
3600000	82350.7808	73199.9345	81933.3915
3650000	82644.2287	71786.2399	81876.6699
3700000	82487.1946	71145.2686	80817.7050
3750000	82056.9892	72095.8132	83084.9213
3800000	82205.3938	71386.6690	82264.9166
3850000	81743.4299	71054.6834	81772.2803
3900000	81264.0890	72354.5489	81517.7987
3950000	82237.3572	72880.9401	82518.8330
4000000	81619.3662	71754.7208	82768.5930
4050000	82022.3626	72678.6993	81489.7538
4100000	81567.3581	70932.1654	82284.7331
4150000	82361.0806	72126.8923	82347.2442
4200000	82438.0876	72029.9007	81804.8330
4250000	82518.0717	72293.7321	81546.3221
4300000	81544.3276	72177.3519	81398.0532
4350000	81851.6901	71716.3173	82020.4774
4400000	82314.7391	71894.1220	81616.2977
4450000	81377.0966	70903.0654	81973.8618
4500000	82335.6625	73093.7043	82613.5444
4550000	81915.8187	71998.4511	81781.6294
4600000	82875.7719	71604.9953	83200.1688
4650000	81591.7463	71763.4342	82979.9092
4700000	83032.5784	71267.5513	80843.8784
4750000	81404.5417	72183.4232	82089.1962
4800000	81865.1774	72607.5689	82064.4114
4850000	82081.7858	71970.4026	81807.7577
4900000	82161.4229	72063.8323	81907.7084
4950000	82296.7985	72467.9061	81674.8161
5000000	82719.1675	71066.1174	81160.4203
5050000	82113.3549	71172.5458	81492.2083
5100000	82051.7971	71534.5742	82414.4916
5150000	83123.5421	71500.7643	82886.3804
5200000	82591.9202	71224.1449	82033.9956
5250000	82803.0074	71814.2545	82024.0647
5300000	82937.9206	71837.0704	81502.9164
5350000	82388.0083	71635.2660	81029.8455
5400000	82841.9843	72108.3999	81636.8089
5450000	82290.6799	72348.5863	81576.3680
5500000	83331.0648	71040.1621	82732.3598
5550000	81669.0598	71770.8419	81152.3514
5600000	82957.4143	72783.6231	82651.8358
5650000	82069.2059	71606.2965	81789.7874
5700000	82123.2276	72320.2884	82335.4406
5750000	82919.6951	72058.0789	81674.3057
5800000	82409.1644	70802.2754	82542.0776
5850000	82546.7879	72006.8755	81561.3739
5900000	82141.5956	71987.9032	81571.6197
5950000	82232.9351	71670.4282	81802.4445
6000000	82276.6134	71680.4429	81834.2438
6050000	82631.7232	71230.7643	82697.6850
6100000	82103.7461	70867.7603	82322.3961
6150000	81324.0169	72653.7973	81978.2657
6200000	82406.5528	71827.2701	82815.6257
6250000	82695.1999	71834.9831	82556.1921
6300000	82528.8563	71155.2805	82022.7849
6350000	82985.8854	71500.1345	82067.0903
6400000	82732.2778	71127.7785	82383.3786
6450000	81215.8230	71704.0589	82146.3370
6500000	82891.7430	71975.5807	82047.5831
6550000	83053.1771	72351.9971	81290.1648
6600000	82870.8390	71907.7546	82128.8687
6650000	82240.7602	71927.4061	81049.0459
6700000	81727.0701	71219.0889	81397.1966
6750000	82727.7200	72676.3338	82224.7048
6800000	82379.9168	71825.0701	82545.3566
6850000	82663.4862	70983.3040	81528.6439
6900000	82125.6093	71605.1660	81709.8927
6950000	82306.3354	72822.0367	82332.9455
7000000	82690.3162	72311.4020	81803.3901
7050000	82385.7003	71756.7470	81242.1489
7100000	82221.0397	71410.5238	82104.8158
7150000	82311.3997	72132.5458	82455.5800
7200000	82615.3653	72781.4957	82182.9631
7250000	82211.4536	71624.9096	82149.1490
7300000	81818.4291	71829.2793	81771.0601
7350000	82836.0695	71783.9933	81083.1109
7400000	82994.7441	72632.1255	81275.7447
7450000	82657.4386	70788.9857	82217.7392
7500000	82474.8497	72329.4139	82234.4596
7550000	82294.8701	71990.9739	81800.6560
7600000	82059.3997	71304.0034	82188.2932
7650000	82482.0553	72083.8456	82567.1197
7700000	82021.9814	70859.5892	82190.8815
7750000	83512.8087	71760.0852	81872.3183
7800000	82478.4110	71917.8806	82464.3331
7850000	81410.1923	72385.1560	81222.5560
7900000	81245.2369	71992.8263	81515.0529
7950000	82288.5652	71532.9174	82206.3388
8000000	82320.5447	70999.7578	82599.2179
8050000	83080.4445	71263.8821	82252.6786
8100000	81443.8995	71358.2056	81504.0188
8150000	82941.6252	72049.2284	81807.6594
8200000	81634.5411	71248.8955	80793.4146
8250000	82357.9122	71516.2415	81643.7334
8300000	82264.0123	70438.5385	82650.1069
8350000	81784.7277	71529.1067	82583.2665
8400000	82232.8039	70924.0440	81825.4996
8450000	82307.9192	71733.9491	82340.0857
8500000	81857.0173	72396.2912	82597.8906
8550000	82344.2871	72016.2212	81489.5116
8600000	81697.9238	72048.7655	81900.1851
8650000	82695.5073	71265.9776	81675.6182
