TS	2_bonds	no_bonds	303_350
0	-1345814.1508	-1235878.4028	-1343725.8872
50000	-1347287.8769	-1237450.1970	-1344466.6427
100000	-1347861.7631	-1237170.8238	-1344469.6215
150000	-1346686.1236	-1238833.2636	-1344042.6441
200000	-1347107.5297	-1237263.7875	-1344709.6174
250000	-1346366.3397	-1237044.8380	-1344042.9556
300000	-1345981.2708	-1234979.4143	-1344361.2764
350000	-1347626.5166	-1236341.6690	-1344117.3992
400000	-1347289.7171	-1237470.5043	-1344436.1620
450000	-1348150.6414	-1236403.2142	-1343937.2237
500000	-1346833.6343	-1236496.2918	-1343778.9080
550000	-1347866.8237	-1237104.5365	-1344669.7643
600000	-1347677.5764	-1236078.7314	-1344464.7121
650000	-1346520.3871	-1236767.0079	-1344772.6457
700000	-1347089.3156	-1238374.2355	-1343893.1557
750000	-1346387.2171	-1237386.8475	-1343812.4219
800000	-1348200.8358	-1236009.2925	-1343606.5217
850000	-1346657.8949	-1236583.1203	-1344013.1150
900000	-1347608.6521	-1235511.1922	-1344314.5975
950000	-1347716.6422	-1237382.0554	-1344465.9681
1000000	-1347148.4582	-1236535.2679	-1344084.7518
1050000	-1347980.6432	-1236138.6199	-1342953.2424
1100000	-1347076.1581	-1236213.9063	-1345735.1862
1150000	-1346357.6962	-1238310.1447	-1342576.2665
1200000	-1346711.3169	-1237241.0372	-1343943.9979
1250000	-1346597.3310	-1236897.2978	-1342236.4986
1300000	-1347728.2381	-1236866.4556	-1343071.8290
1350000	-1346563.0716	-1237363.5862	-1344636.3136
1400000	-1346680.4571	-1234815.1535	-1343964.1567
1450000	-1346399.9510	-1237393.7101	-1342118.3453
1500000	-1347803.1507	-1236910.3178	-1343675.1274
1550000	-1346895.9946	-1237765.3265	-1343803.9638
1600000	-1345715.6814	-1236459.4698	-1343307.8874
1650000	-1347754.9818	-1236403.6439	-1343883.8507
1700000	-1348000.1439	-1235863.1595	-1343888.7130
1750000	-1348705.3124	-1236536.5866	-1344435.8272
1800000	-1345817.1082	-1237602.2727	-1345126.0673
1850000	-1347084.4340	-1235949.3035	-1344843.7698
1900000	-1349190.4851	-1235917.8085	-1343967.8637
1950000	-1347507.3975	-1236421.1369	-1345385.5585
2000000	-1346159.2167	-1238149.5276	-1342814.5484
2050000	-1347524.6913	-1238423.7855	-1343966.4347
2100000	-1346017.3751	-1236157.8992	-1344866.8830
2150000	-1347806.4148	-1236710.5401	-1344775.2720
2200000	-1347281.0623	-1236410.3585	-1343538.4716
2250000	-1347548.4920	-1236837.4126	-1342992.9849
2300000	-1347087.9132	-1237772.0641	-1343638.4902
2350000	-1347003.7738	-1236272.4586	-1345778.3677
2400000	-1348527.7347	-1237264.4014	-1345275.6551
2450000	-1349146.7031	-1237334.1900	-1343824.3988
2500000	-1347479.3227	-1234876.4240	-1344689.6788
2550000	-1347669.9560	-1236511.2899	-1343381.3512
2600000	-1348192.0416	-1236999.6929	-1345529.5805
2650000	-1347491.5430	-1236363.4923	-1342880.6501
2700000	-1347555.4532	-1237802.3168	-1345105.9471
2750000	-1347593.8884	-1235436.5077	-1344577.6143
2800000	-1346687.7064	-1237059.6492	-1344547.8232
2850000	-1346760.9690	-1237993.9829	-1344828.4919
2900000	-1347501.9684	-1236960.2832	-1345582.0509
2950000	-1347364.9078	-1236410.0533	-1344331.4796
3000000	-1347074.5159	-1236747.0059	-1344401.9863
3050000	-1346849.9994	-1237058.8385	-1344656.9479
3100000	-1346678.0374	-1237453.8568	-1344855.7277
3150000	-1346384.5401	-1237149.2415	-1344867.8153
3200000	-1347248.6137	-1236537.4465	-1343736.3981
3250000	-1347280.9928	-1237605.2798	-1344369.3451
3300000	-1346828.2548	-1237767.6909	-1344488.3184
3350000	-1344832.0680	-1238120.4557	-1345010.7427
3400000	-1347079.5403	-1237370.7032	-1345625.8780
3450000	-1347216.5186	-1236601.0782	-1344850.0610
3500000	-1346492.0699	-1237721.1076	-1344124.6724
3550000	-1347839.4289	-1236419.1876	-1345181.5699
3600000	-1346841.6832	-1237815.8520	-1344790.2935
3650000	-1346975.3422	-1236842.7483	-1344069.8874
3700000	-1348125.8741	-1236149.9399	-1343055.1458
3750000	-1346412.7979	-1237529.1701	-1346737.7115
3800000	-1348530.7594	-1236285.7203	-1344712.8157
3850000	-1346830.2948	-1235100.1715	-1344158.9518
3900000	-1346293.1749	-1237291.9822	-1344975.6609
3950000	-1348133.4039	-1237891.0036	-1345192.8207
